State;Continent;Owner;RT.com;Spt.ru;All %;OK;Fail;Flag;Euro %;OK;Fail;Flag;TTJA %;OK;Fail;Flag;NEPLP %;OK;Fail;Flag;Cat3 %;Cat5 %
CH;EU;Reichle & De-Massari AG;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
CH;EU;Bluewin;0;0;0.27;80;30;0;0.71;10;25;1;0.0;9;0;0;0.13;66;10;0;0.33;0.2
DE;EU;CW Vodafone Group PLC;0;0;0.21;84;22;0;0.52;16;17;1;0.0;9;0;0;0.12;65;9;0;0.33;0.2
BG;EU;A1 Bulgaria EAD;0;0;0.25;9;3;0;0.75;1;3;0;0.0;1;0;0;0.11;8;1;0;0.0;0.0
RU;EU;Rostelecom;0;0;0.2;24;6;0;0.6;4;6;0;0.0;5;0;0;0.06;17;1;0;0.0;0.0
GB;EU;UUNET;0;0;0.34;73;37;0;0.91;3;32;1;0.0;9;0;0;0.14;65;11;0;0.33;0.2
RU;EU;JSC ER-Telecom Holding;0;0;0.2;74;19;0;0.5;15;15;0;0.0;8;0;0;0.12;57;8;0;0.0;0.0
RU;EU;YANDEX LLC;0;0;0.18;86;19;0;0.47;16;14;0;0.0;9;0;0;0.11;67;8;0;0.0;0.0
CZ;EU;M247 Ltd;0;0;0.18;87;19;0;0.47;17;15;0;0.0;9;0;0;0.11;67;8;0;0.0;0.0
RU;EU;JSC ER-Telecom Holding;0;0;0.19;42;10;0;0.42;11;8;0;0.0;4;0;0;0.14;30;5;0;0.0;0.0
BG;EU;M247 Ltd;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
FR;EU;OVH SAS;0;0;0.2;88;22;0;0.49;18;17;0;0.0;9;0;0;0.12;67;9;0;0.0;0.0
SK;EU;S.A. NET;0;0;0.15;11;2;0;0.4;3;2;0;0;0;0;0;0.0;9;0;0;0.0;0.0
